my_video.mkv
hevc
2182	32400
K	37906	0	18.281975	0.975057	14	23
B	140	52642	24.999506	0.022217	24	25
B	154	52782	24.047901	0.215857	23	25
B	582	52060	22.051512	0.527662	18	25
B	148	52936	23.107716	0.450380	23	25
B	160	53084	26.902284	0.430067	25	27
P	14154	37906	18.206883	0.888616	15	23
B	169	57554	24.352593	0.477777	24	25
B	206	57723	24.706543	0.824281	23	26
B	454	57100	21.907284	1.160639	19	24
B	144	57929	24.940679	0.236224	24	25
B	223	58073	24.084938	1.237558	23	28
P	3856	53244	18.558611	1.421123	15	23
B	1631	79539	23.475154	1.511132	21	27
... etc ...
